Company Name,Website,Field,HQ Location,Company Overview,Date: Company Founded,Company LinkedIn URL,Last Funding Round Type ,Last Funding Date,Last Funding Amount $USD,Total Raised $USD,Founders Name,Investors
Ada,ada.support,Chatbots,"Toronto, Ontario, Canada",Ada is an automated customer experience company that provides chat bots used in customer support.,2016,https://www.linkedin.com/company/ada-support,Series C,2021-05-07,"$130,000,000.00","$190,620,620.00",David Hariri; Mike Murchison,Tiger Global Management; Bessemer Venture Partners; Creative Destruction Lab (CDL); Accel; DMZ
Balto,balto.ai,Chatbots,"St Louis, Missouri, United States",Uniting agents with AI for conversations that deliver results. Empower your team using real-time guidance with Balto.,2017,https://www.linkedin.com/company/baltosoftware/,Series B,2021-08-19,"$37,500,000.00","$51,850,000.00",Chris Kontes; Davidson Girard; Marc Bernstein,Jump Capital; Sierra Ventures; Stripes; Arch Grants; Cultivation Capital
Certainly,certainly.io,Chatbots,"Copenhagen, Hovedstaden, Denmark",Certainly is a Conversational AI Platform made for ecommerce and customer service.,2016,https://www.linkedin.com/company/certainly,Seed,2020-09-23,"$4,662,640.00","$5,058,801.00",Dario Darío Rodríguez López; Henrik Fabrin,Seed Capital; VF Venture; Esben Gadsbøll; Thomas Black Petersen
Cohere,cohere.so,Chatbots,"New York, New York, United States","Exceed customer expectations 24/7/365. Drive support costs down, and CSAT up.",,https://www.linkedin.com/company/coherehq/,,,,,,
Cresta,cresta.com,Chatbots,"San Francisco, California, United States",Cresta leverages artificial intelligence to help sales and service agents improve the quality of their customer service.,2017,https://www.linkedin.com/company/cresta-inc/,Series C,2022-03-17,"$80,000,000.00","$151,000,000.00",S. Zayd Enam; Sebastian Thrun; Tim Shi,Andreessen Horowitz; Sequoia Capital; JP Morgan Chase; Zoom; CarMax
EliseAI,eliseai.com,Chatbots,"New York, New York, United States",Powering business conversations.,,https://www.linkedin.com/company/eliseai/,,,,,,
Forethought,forethought.ai,Chatbots,"San Francisco, California, United States",Forethought provides customer service solutions that transform the customer experience with human-centered AI.,2017,https://www.linkedin.com/company/18555572/,Series C,2021-12-15,"$65,000,000.00","$92,000,000.00",Colm Doyle; Deon Nicholas; Sami Ghoche,Village Global; Collaborative Fund; 8VC; New Enterprise Associates; Cleo Capital
Haptik,haptik.ai,Chatbots,"Mumbai, Maharashtra, India",Accelerating the world’s transition to Conversational Commerce.,2013,https://www.linkedin.com/company/haptik-inc,Series B,2016-04-05,"$11,200,000.00","$12,200,000.00",Aakrit Vaish; Swapan Rajdev,Kalaari Capital; Times Internet; Vivek Kumar
IN.WORLD,inworld.ai,Chatbots,"Mountain View, California, United States","Inworld AI is a creative platform for AI-driven virtual characters, immersive realities, and metaverse spaces.",2021,https://www.linkedin.com/company/inworld-ai,Series A,2022-08-23,"$50,000,000.00","$69,700,000.00",Ilya Gelfenbeyn; Kylan Gibbs; Michael Ermolenko,Meta; BITKRAFT Ventures; Founders Fund; Section 32; Intel Capital
Kasisto,kasisto.com,Chatbots,"New York, New York, United States","Kasisto's enables financial institutions to service, engage, and acquire customers.",2013,https://www.linkedin.com/company/kasisto-inc/,Series C,2022-08-22,"$15,500,000.00","$81,450,000.00",Dror Oren; Ruth Brown; Sasha Caskey; Zor Gorelov,NCR; FIS; Mastercard; Oak HC; FT; DBS Bank
